Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0074624,0.175276393070817,-0.0404836777597666,
,,,-0.0073616,0.159195993095636,-0.0605841800570488,
,,,-0.0072608,0.151155793108046,-0.000282673165202141,
,,,-0.00716000000000001,0.135075393132865,0.0198178291320801,
,,,-0.0070592,0.118994993157685,-0.0404836777597666,
,,,-0.0069584,0.110954793170094,-0.100785184651613,
,,,-0.00685760000000001,0.0948743931949139,-0.0203831754624844,
,,,-0.00675680000000001,0.0868341932073236,-0.080684682354331,
,,,-0.006656,0.0707537932321429,-0.0203831754624844,
,,,-0.0065552,0.0707537932321429,-0.0404836777597666,
,,,-0.00645440000000001,0.0627135932445526,-0.080684682354331,
,,,-0.0063536,0.0546733932569623,-0.0605841800570488,
,,,-0.0062528,0.0385929932817817,-0.000282673165202141,
,,,-0.006152,0.0305527932941914,0.0198178291320801,
,,,-0.00605120000000001,0.022512593306601,-0.0605841800570488,
,,,-0.0059504,0.0144723933190107,-0.000282673165202141,
,,,-0.0058496,-0.00160800665616989,-0.000282673165202141,
,,,-0.00574880000000001,-0.0096482066437602,-0.080684682354331,
,,,-0.00564800000000001,-0.0096482066437602,-0.0203831754624844,
,,,-0.0055472,-0.0176884066313505,0.0198178291320801,
,,,-0.0054464,-0.0337688066065311,-0.0404836777597666,
,,,-0.00534560000000001,-0.0337688066065311,0.0399183314293623,
,,,-0.0052448,-0.0418090065941215,-0.000282673165202141,
,,,-0.005144,-0.0418090065941215,-0.0605841800570488,
,,,-0.0050432,-0.0418090065941215,-0.0203831754624844,
,,,-0.00494240000000001,-0.0578894065693021,0.0198178291320801,
,,,-0.0048416,-0.0659296065568924,-0.0203831754624844,
,,,-0.0047408,-0.0578894065693021,0.0399183314293623,
,,,-0.00464000000000001,-0.0578894065693021,-0.000282673165202141,
,,,-0.00453920000000001,-0.0498492065817118,-0.0203831754624844,
,,,-0.0044384,-0.0578894065693021,-0.0203831754624844,
,,,-0.0043376,-0.0659296065568924,-0.0605841800570488,
,,,-0.00423680000000001,-0.0659296065568924,-0.0203831754624844,
