Description	
Number of Runs	780
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1020
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
410	1020	8	1	05/11/23 03:18:17 PM	
411	1020	6	1	05/11/23 03:18:19 PM	
412	1020	6	1	05/11/23 03:18:20 PM	
413	1020	8	1	05/11/23 03:18:21 PM	
414	1020	5	1	05/11/23 03:18:22 PM	
415	1020	6	1	05/11/23 03:18:23 PM	
416	1020	5	1	05/11/23 03:18:24 PM	
417	1020	4	1	05/11/23 03:18:25 PM	
418	1020	8	1	05/11/23 03:18:27 PM	
419	1020	4	1	05/11/23 03:18:28 PM	
420	1020	4	1	05/11/23 03:18:29 PM	
421	1020	7	1	05/11/23 03:18:30 PM	
422	1020	6	1	05/11/23 03:18:31 PM	
423	1020	5	1	05/11/23 03:18:32 PM	
424	1020	3	1	05/11/23 03:18:33 PM	
425	1020	1	1	05/11/23 03:18:35 PM	
426	1020	5	1	05/11/23 03:18:36 PM	
427	1020	8	1	05/11/23 03:18:37 PM	
428	1020	4	1	05/11/23 03:18:38 PM	
429	1020	7	1	05/11/23 03:18:39 PM	
430	1020	12	1	05/11/23 03:18:40 PM	
431	1020	7	1	05/11/23 03:18:42 PM	
432	1020	6	1	05/11/23 03:18:43 PM	
433	1020	4	1	05/11/23 03:18:44 PM	
434	1020	6	1	05/11/23 03:18:45 PM	
435	1020	7	1	05/11/23 03:18:46 PM	
436	1020	7	1	05/11/23 03:18:47 PM	
437	1020	5	1	05/11/23 03:18:48 PM	
438	1020	11	1	05/11/23 03:18:50 PM	
439	1020	6	1	05/11/23 03:18:51 PM	
440	1020	2	1	05/11/23 03:18:52 PM	
441	1020	12	1	05/11/23 03:18:53 PM	
442	1020	8	1	05/11/23 03:18:54 PM	
443	1020	3	1	05/11/23 03:18:55 PM	
444	1020	8	1	05/11/23 03:18:56 PM	
445	1020	9	1	05/11/23 03:18:58 PM	
446	1020	9	1	05/11/23 03:18:59 PM	
447	1020	5	1	05/11/23 03:19:00 PM	
448	1020	6	1	05/11/23 03:19:01 PM	
449	1020	5	1	05/11/23 03:19:02 PM	
450	1020	5	1	05/11/23 03:19:03 PM	
451	1020	7	1	05/11/23 03:19:04 PM	
452	1020	5	1	05/11/23 03:19:06 PM	
453	1020	9	1	05/11/23 03:19:07 PM	
454	1020	9	1	05/11/23 03:19:08 PM	
455	1020	6	1	05/11/23 03:19:09 PM	
456	1020	7	1	05/11/23 03:19:10 PM	
457	1020	13	1	05/11/23 03:19:11 PM	
458	1020	2	1	05/11/23 03:19:12 PM	
459	1020	6	1	05/11/23 03:19:14 PM	
460	1020	8	1	05/11/23 03:19:15 PM	
